slug,title,correct?,soc_code,matched_label,match_score,review_required,api_match_method,api_score,api_soc_code,api_soc_title,llm_soc_code,llm_confidence,llm_review_required,llm_reason,top2_label,top2_score,top3_label,top3_score,suggested_soc_code,suggested_soc_title,suggested_confidence,suggested_reason,suggested_alt1_code,suggested_alt1_title,suggested_alt2_code,suggested_alt2_title
communication-support-worker,Communication support worker,2224,3221,Youth and community workers,83.3,yes,api_ranked_manual_pass,83.3,3221,Youth and community workers,,,,,Police community support officers,84.2,Communication operators,83.3,3221,Youth and community workers,83.3,Title/alias similarity,9111,Farm workers,7213,Communication operators
physician-assistant,Physician assistant,2229,7111,Sales and retail assistants,83.3,yes,api_ranked_manual_pass,83.3,7111,Sales and retail assistants,,,,,Musicians,85.7,Dispensing opticians,75,7111,Sales and retail assistants,83.3,Title/alias similarity,6112,Teaching assistants,9263,Kitchen and catering assistants
agricultural-inspector,Agricultural inspector,8134,8143,Routine inspectors and testers,83.9,yes,api_ranked_manual_pass,83.9,8143,Routine inspectors and testers,5119,0.53,yes,"‘Agricultural inspector’ is agriculture-related, and among the allowed options 5119 (Agricultural and fishing trades n.e.c.) is the closest relevant match. The other candidates are largely unrelated. However, ‘inspector’ suggests a regulatory/compliance role rather than a hands-on agricultural trade, so confidence is only moderate.",Horticultural trades,68.8,Rail transport operatives,66.7,8143,Routine inspectors and testers,83.9,Title/alias similarity,5223,Metal working production and maintenance fitters,2483,Environmental health professionals
beauty-consultant,Beauty consultant,2224,2431,Management consultants and business analysts,83.9,yes,api_ranked_manual_pass,83.9,2431,Management consultants and business analysts,,,,,Beauticians and related occupations,90.9,Butchers,66.7,2431,Management consultants and business analysts,83.9,Title/alias similarity,3571,Human resources and industrial relations officers,3549,Business associate professionals n.e.c.
aid-worker,Aid worker,3221,9111,Farm workers,84.2,yes,api_ranked_manual_pass,84.2,9111,Farm workers,3221,0.42,yes,"'Aid worker' is ambiguous, but among the allowed options the closest fit is 'Youth and community workers' because aid roles often involve community support, outreach, and assistance rather than manual, agricultural, or technical work. 'Social workers' is also plausible, but usually implies a more specific regulated professional role. Confidence is limited due to the broadness of the title.",Air travel assistants,80,Aircraft maintenance and related trades,80,9111,Farm workers,84.2,Title/alias similarity,9112,Forestry and related workers,2461,Social workers
arboricultural-officer,Arboricultural officer,5112,1162,Senior police officers,84.2,yes,api_ranked_manual_pass,84.2,1162,Senior police officers,5112,0.63,yes,"'Arboricultural officer' relates to the care, management and maintenance of trees, aligning most closely with horticultural trades among the allowed options. Other 'officer' titles listed are from unrelated administrative or enforcement occupations.",Horticultural trades,81.5,Managers and proprietors in agriculture and horticulture,72,1162,Senior police officers,84.2,Title/alias similarity,1161,Officers in armed forces,3312,Police officers (sergeant and below)
equalities-officer,Equalities officer,2413,1162,Senior police officers,84.2,yes,api_ranked_manual_pass,84.2,1162,Senior police officers,,,,,Quality assurance technicians,80,Quality assurance and regulatory professionals,80,1162,Senior police officers,84.2,Title/alias similarity,3314,Prison service officers (below principal officer),1161,Officers in armed forces
estates-officer,Estates officer,3555,1162,Senior police officers,84.2,yes,api_ranked_manual_pass,84.2,1162,Senior police officers,,,,,"Property, housing and estate managers",100,Routine inspectors and testers,72.7,1162,Senior police officers,84.2,Title/alias similarity,4141,Office managers,1161,Officers in armed forces
heritage-officer,Heritage officer,2452,1162,Senior police officers,84.2,yes,api_ranked_manual_pass,84.2,1162,Senior police officers,,,,,"Scaffolders, stagers and riggers",75,Collector salespersons and credit agents,75,1162,Senior police officers,84.2,Title/alias similarity,3512,Ship and hovercraft officers,1161,Officers in armed forces
recycling-engagement-officer,Recycling engagement officer,2152,1162,Senior police officers,84.2,yes,api_ranked_manual_pass,84.2,1162,Senior police officers,,,,,IT managers,66.7,Teaching assistants,62.5,1162,Senior police officers,84.2,Title/alias similarity,3512,Ship and hovercraft officers,1161,Officers in armed forces
training-officer,Training officer,3574,1162,Senior police officers,84.2,yes,api_ranked_manual_pass,84.2,1162,Senior police officers,,,,,Printing machine assistants,75,Metal making and treating process operatives,75,1162,Senior police officers,84.2,Title/alias similarity,1161,Officers in armed forces,3314,Prison service officers (below principal officer)
insurance-risk-surveyor,Insurance risk surveyor,4132,4132,Pensions and insurance clerks and assistants,84.6,yes,api_ranked_manual_pass,84.6,4132,Pensions and insurance clerks and assistants,,,,,Chartered surveyors,70.6,Quantity surveyors,69.2,4132,Pensions and insurance clerks and assistants,84.6,Title/alias similarity,2454,Chartered surveyors,3531,Brokers
nuclear-engineer,Nuclear engineer,2129,2123,Electrical engineers,84.6,yes,api_ranked_manual_pass,84.6,2123,Electrical engineers,,,,,Aerospace engineers,81.5,Mechanical engineers,80,2123,Electrical engineers,84.6,Title/alias similarity,2126,Aerospace engineers,2129,Engineering professionals n.e.c.
radiography-assistant,Radiography assistant,2233,7111,Sales and retail assistants,84.6,yes,api_ranked_manual_pass,84.6,7111,Sales and retail assistants,,,,,Dancers and choreographers,66.7,Graphic and multimedia designers,62.5,7111,Sales and retail assistants,84.6,Title/alias similarity,7114,Pharmacy and optical dispensing assistants,4135,Library clerks and assistants
wardrobe-assistant,Wardrobe assistant,5413,7111,Sales and retail assistants,84.6,yes,api_ranked_manual_pass,84.6,7111,Sales and retail assistants,,,,,Warehouse operatives,66.7,Hairdressers and barbers,66.7,7111,Sales and retail assistants,84.6,Title/alias similarity,6111,Early education and childcare assistants,9263,Kitchen and catering assistants
advertising-media-planner,Advertising media planner,2494,2494,Advertising accounts managers and creative directors,84.8,yes,api_ranked_manual_pass,84.8,2494,Advertising accounts managers and creative directors,3554,0.78,yes,"'Advertising media planner' is an advertising/marketing support role focused on planning media campaigns rather than a senior manager/director or account manager role. Among the allowed candidates, 3554 (Advertising and marketing associate professionals) is the best fit.","Marketing, sales and advertising directors",70.6,Advertising accounts managers and creative directors,68.4,2494,Advertising accounts managers and creative directors,84.8,Title/alias similarity,2452,"Chartered architectural technologists, planning officers and consultants",3553,Merchandisers 
building-technician,Building technician,3114,3114,Building and civil engineering technicians,84.8,yes,api_ranked_manual_pass,84.8,3114,Building and civil engineering technicians,,,,,Construction and building trades n.e.c.,100,Building and civil engineering technicians,100,3114,Building and civil engineering technicians ,84.8,Title/alias similarity,3212,Pharmaceutical technicians,3113,Engineering technicians 
leather-craftworker,Leather craftworker,2129,5412,Footwear and leather working trades,84.8,yes,api_ranked_manual_pass,84.8,5412,Footwear and leather working trades,,,,,Playworkers,75,Furniture makers and other craft woodworkers,73.7,5412,Footwear and leather working trades,84.8,Title/alias similarity,8146,Sewing machinists,8113,Chemical and related process operatives
robotics-engineer,Robotics engineer,2124,2124,Electronics engineers,84.8,yes,api_ranked_manual_pass,84.8,2124,Electronics engineers,,,,,Engineering technicians,84.2,Civil engineers,83.3,2124,Electronics engineers,84.8,Title/alias similarity,2126,Aerospace engineers,2129,Engineering professionals n.e.c.
sports-professional,Sports professional,3432,2464,Youth work professionals,84.8,yes,api_ranked_manual_pass,84.8,2464,Youth work professionals,,,,,Youth work professionals,88.2,IT network professionals,88.2,2464,Youth work professionals,84.8,Title/alias similarity,2315,Nursery education teaching professionals,2139,Information technology professionals n.e.c.
biotechnologist,Biotechnologist,2119,1243,Managers in logistics,85.7,yes,no_results,0,,,,,,,"Chartered architectural technologists, planning officers and consultants",80,Florists,76.9,,,0,No API candidates returned,,,,
car-rental-agent,Car rental agent,6212,6212,Travel agents,85.7,yes,api_ranked_manual_pass,85.7,6212,Travel agents,,,,,Senior care workers,85.7,Collector salespersons and credit agents,71.4,6212,Travel agents,85.7,Title/alias similarity,6135,Care workers and home carers,3555,Estate agents and auctioneers
commercial-energy-assessor,Commercial energy assessor,2129,3574,Other vocational and industrial trainers,85.7,yes,api_ranked_manual_pass,85.7,3574,Other vocational and industrial trainers,,,,,Marketing and commercial managers,69.6,Energy plant operatives,66.7,3574,Other vocational and industrial trainers,85.7,Title/alias similarity,2432,Marketing and commercial managers,1132,"Marketing, sales and advertising directors"
construction-plant-mechanic,Construction plant mechanic,2129,5231,"Vehicle technicians, mechanics and electricians",85.7,yes,api_ranked_manual_pass,85.7,5231,"Vehicle technicians, mechanics and electricians",,,,,Road construction operatives,82.8,Rail construction and maintenance operatives,78.4,5231,"Vehicle technicians, mechanics and electricians",85.7,Title/alias similarity,5330,Construction and building trades supervisors,1122,Production managers and directors in construction
dog-handler,Dog handler,6129,8233,Air transport operatives,85.7,yes,api_ranked_manual_pass,85.7,8233,Air transport operatives,,,,,Clergy,66.7,Window cleaners,63.6,8233,Air transport operatives,85.7,Title/alias similarity,9259,Elementary storage occupations n.e.c.,9139,Elementary process plant occupations n.e.c.
exhibition-designer,Exhibition designer,3421,2141,Web design professionals,85.7,yes,api_ranked_manual_pass,85.7,2141,Web design professionals,,,,,Interior designers,83.9,"Clothing, fashion and accessories designers",69,2141,Web design professionals,85.7,Title/alias similarity,3422,"Clothing, fashion and accessories designers",3120,"CAD, drawing and architectural technicians"
general-practice-surveyor,General practice surveyor,3555,2232,Registered community nurses,85.7,yes,api_ranked_manual_pass,85.7,2232,Registered community nurses,,,,,Quantity surveyors,75,Office supervisors,69,2232,Registered community nurses,85.7,Title/alias similarity,2211,Generalist medical practitioners,2454,Chartered surveyors
hydrologist,Hydrologist,2119,1243,Managers in logistics,85.7,yes,no_results,0,,,,,,,Other psychologists,84.2,Clinical psychologists,84.2,,,0,No API candidates returned,,,,
leisure-centre-assistant,Leisure centre assistant,1224,9267,Leisure and theme park attendants,85.7,yes,api_ranked_manual_pass,85.7,9267,Leisure and theme park attendants,,,,,Leisure and theme park attendants,80,Leisure and sports managers and proprietors,72.7,9267,Leisure and theme park attendants,85.7,Title/alias similarity,7111,Sales and retail assistants,1224,Leisure and sports managers and proprietors
metrologist,Metrologist,2119,1243,Managers in logistics,85.7,yes,no_results,0,,,,,,,Optometrists,77.8,Other psychologists,77.8,,,0,No API candidates returned,,,,
nanotechnologist,Nanotechnologist,2119,1243,Managers in logistics,85.7,yes,no_results,0,,,,,,,"Chartered architectural technologists, planning officers and consultants",81.2,Florists,76.9,,,0,No API candidates returned,,,,
palaeontologist,Palaeontologist,2119,1243,Managers in logistics,85.7,yes,no_results,0,,,,,,,Florists,76.9,"Chartered architectural technologists, planning officers and consultants",73.3,,,0,No API candidates returned,,,,
public-finance-accountant,Public finance accountant,2421,1223,Publicans and managers of licensed premises,85.7,yes,api_ranked_manual_pass,85.7,1223,Publicans and managers of licensed premises,,,,,Financial accounts managers,82.4,Financial and accounting technicians,78.9,1223,Publicans and managers of licensed premises,85.7,Title/alias similarity,2421,Chartered and certified accountants,2422,Finance and investment analysts and advisers
radio-broadcast-assistant,Radio broadcast assistant,5242,6211,Sports and leisure assistants,85.7,yes,api_ranked_manual_pass,85.7,6211,Sports and leisure assistants,,,,,"Newspaper, periodical and broadcast editors",80,"Photographers, audio-visual and broadcasting equipment operators",73.3,6211,Sports and leisure assistants,85.7,Title/alias similarity,3416,"Arts officers, producers and directors",6112,Teaching assistants
smart-meter-installer,Smart meter installer,5315,5315,Plumbers and heating and ventilating installers and repairers,85.7,yes,api_ranked_manual_pass,85.7,5315,Plumbers and heating and ventilating installers and repairers,,,,,Computer system and equipment installers and servicers,71.4,Telecoms and related network installers and repairers,71.4,5315,Plumbers and heating and ventilating installers and repairers,85.7,Title/alias similarity,5245,Security system installers and repairers,5242,Telecoms and related network installers and repairers
tourist-information-centre-assistant,Tourist information centre assistant,1225,1225,Travel agency managers and proprietors,85.7,yes,api_ranked_manual_pass,85.7,1225,Travel agency managers and proprietors,,,,,Florists,71.4,Information technology trainers,70,1225,Travel agency managers and proprietors,85.7,Title/alias similarity,7111,Sales and retail assistants,4135,Library clerks and assistants
tv-or-film-producer,TV or film producer,1121,2141,Web design professionals,85.7,yes,api_ranked_manual_pass,85.7,2141,Web design professionals,,,,,Butchers,72.7,Process operatives n.e.c.,66.7,2141,Web design professionals,85.7,Title/alias similarity,5423,Print finishing and binding workers,3416,"Arts officers, producers and directors"
tv-or-film-production-runner,TV or film production runner,1121,3116,"Planning, process and production technicians",85.7,yes,api_ranked_manual_pass,85.7,3116,"Planning, process and production technicians",,,,,Production managers and directors in mining and energy,73.2,Production managers and directors in construction,70,3116,"Planning, process and production technicians",85.7,Title/alias similarity,2125,Production and process engineers,1121,Production managers and directors in manufacturing
airport-information-assistant,Airport information assistant,8233,4135,Library clerks and assistants,86.2,yes,api_ranked_manual_pass,86.2,4135,Library clerks and assistants,6213,0.89,yes,"'Airport information assistant' aligns most closely with customer-facing support roles in air travel, such as providing passenger information and assistance at airports. This fits 'Air travel assistants' better than broader transport clerical roles or operational air transport jobs.",Probation officers,75,Information technology trainers,73.3,4135,Library clerks and assistants,86.2,Title/alias similarity,7111,Sales and retail assistants,6112,Teaching assistants
community-arts-worker,Community arts worker,3221,3221,Youth and community workers,86.5,yes,api_ranked_manual_pass,86.5,3221,Youth and community workers,,,,,Registered community nurses,85.7,Artists,80,3221,Youth and community workers,86.5,Title/alias similarity,9111,Farm workers,2232,Registered community nurses
animal-care-worker,Animal care worker,6129,6135,Care workers and home carers,86.7,yes,api_ranked_manual_pass,86.7,6135,Care workers and home carers,6129,0.98,no,'Animal care worker' matches SOC 6129 Animal care services occupations n.e.c. directly by title and job function. Other care-related options refer to human care or unrelated manual/agricultural roles.,Animal care services occupations n.e.c.,100,Houseparents and residential wardens,72.7,6135,Care workers and home carers,86.7,Title/alias similarity,9111,Farm workers,6129,Animal care services occupations n.e.c
construction-plant-operator,Construction plant operator,5330,7112,Retail cashiers and check-out operators,87,yes,api_ranked_manual_pass,87,7112,Retail cashiers and check-out operators,,,,,Road construction operatives,82.8,IT operations technicians,81.8,7112,Retail cashiers and check-out operators,87,Title/alias similarity,5330,Construction and building trades supervisors,1122,Production managers and directors in construction
money-adviser,Money adviser,2422,2469,Welfare professionals n.e.c.,87,yes,api_ranked_manual_pass,87,2469,Welfare professionals n.e.c.,,,,,Education advisers and school inspectors,76.9,Finance and investment analysts and advisers,76.2,2469,Welfare professionals n.e.c.,87,Title/alias similarity,2423,Taxation experts,2422,Finance and investment analysts and advisers
victim-care-officer,Victim care officer,6311,1161,Officers in armed forces,87,yes,api_ranked_manual_pass,87,1161,Officers in armed forces,,,,,Farmers,66.7,Care escorts,63.6,3312,Police officers (sergeant and below),92.4,Title/alias similarity + hint similarity,1162,Senior police officers,6311,Police community support officers
podiatry-assistant,Podiatry assistant,6111,4135,Library clerks and assistants,87.5,yes,api_ranked_manual_pass,87.5,4135,Library clerks and assistants,,,,,Laboratory technicians,66.7,Primary education teaching professionals,66.7,4135,Library clerks and assistants,87.5,Title/alias similarity + hint similarity,7111,Sales and retail assistants,6111,Early education and childcare assistants
zoologist,Zoologist,2112,2226,Other psychologists,87.5,yes,no_results,0,,,,,,,Clinical psychologists,87.5,Managers in logistics,85.7,2115,Social and humanities scientists,88.9,Title/alias similarity + hint similarity,2114,Physical scientists,2112,Biological scientists
